absolutely
accurate
actual
add up
also
alternative choice
and
approximately
as a matter of fact
beautiful
big
bitter
busy
change
clear
colorful
couple
cute
explain
few
give
good
hungry
important
interesting
like
make
meaningful
necessary
new
nice
old
poor
really
said
see
show
simple
small
smart
special
strange
stuff
thing
tired
very
way
wise
